ORF	protein_type
YAL009W	PP
YAL017W	PK
YAR018C	PK
YAR019C	PK
YBL009W	PK
YBL016W	PK
YBL046W	PP
YBL056W	PP
YBL088C	PK
YBL105C	PK
YBR028C	PK
YBR059C	PK
YBR097W	PK
YBR125C	PP
YBR136W	PK
YBR156C	PK
YBR160W	PK
YBR274W	PK
YBR276C	PP
YCL024W	PK
YCR008W	PK
YCR073C	PK
YCR079W	PP
YCR091W	PK
YDL006W	PP
YDL017W	PK
YDL025C	PK
YDL028C	PK
YDL047W	PP
YDL079C	PK
YDL101C	PK
YDL108W	PK
YDL127W	PK
YDL134C	PP
YDL159W	PK
YDL188C	PP
YDL214C	PK
YDL230W	PP
YDL236W	PP
YDR028C	PP
YDR066C	PP
YDR067C	PP
YDR075W	PP
YDR122W	PK
YDR195W	PP
YDR247W	PK
YDR283C	PK
YDR422C	PK
YDR436W	PP
YDR466W	PK
YDR477W	PK
YDR481C	PP
YDR490C	PK
YDR507C	PK
YDR523C	PK
YER027C	PK
YER054C	PP
YER075C	PP
YER089C	PP
YER123W	PK
YER129W	PK
YER133W	PP
YER134C	PP
YER139C	PP
YFL029C	PK
YFL033C	PK
YFL034C-B	PK
YFR014C	PK
YFR028C	PP
YGL019W	PK
YGL021W	PK
YGL059W	PK
YGL083W	PK
YGL115W	PK
YGL119W	PK
YGL134W	PK
YGL158W	PK
YGL179C	PK
YGL180W	PK
YGL190C	PP
YGL208W	PK
YGR040W	PK
YGR052W	PK
YGR092W	PK
YGR109C	PK
YGR123C	PP
YGR188C	PK
YGR203W	PP
YGR262C	PK
YHL007C	PK
YHR004C	PP
YHR030C	PK
YHR071W	PK
YHR076W	PP
YHR079C	PK
YHR082C	PK
YHR102W	PK
YHR135C	PK
YHR205W	PK
YIL035C	PK
YIL042C	PK
YIL095W	PK
YIL106W	PK
YIL113W	PP
YIL147C	PK
YIR026C	PP
YJL006C	PK
YJL013C	PK
YJL057C	PK
YJL095W	PK
YJL106W	PK
YJL128C	PK
YJL141C	PK
YJL164C	PK
YJL165C	PK
YJL187C	PK
YJR059W	PK
YJR066W	PK
YKL025C	PK
YKL048C	PK
YKL101W	PK
YKL116C	PK
YKL126W	PK
YKL139W	PK
YKL161C	PK
YKL166C	PK
YKL168C	PK
YKL171W	PK
YKL190W	PP
YKL198C	PK
YKL203C	PK
YLL010C	PP
YLL019C	PK
YLR019W	PP
YLR096W	PK
YLR113W	PK
YLR210W	PK
YLR226W	PK
YLR240W	PK
YLR248W	PK
YLR253W	PK
YLR361C	PP
YLR362W	PK
YLR433C	PP
YML016C	PP
YML057W	PP
YML112W	PK
YMR001C	PK
YMR036C	PP
YMR104C	PK
YMR139W	PK
YMR216C	PK
YMR277W	PP
YMR291W	PK
YNL020C	PK
YNL025C	PK
YNL032W	PP
YNL053W	PP
YNL056W	PP
YNL099C	PP
YNL154C	PK
YNL161W	PK
YNL183C	PK
YNL201C	PP
YNL207W	PK
YNL222W	PP
YNL289W	PK
YNL298W	PK
YNL307C	PK
YNR031C	PK
YNR032W	PP
YNR047W	PK
YOL001W	PK
YOL016C	PK
YOL045W	PK
YOL100W	PK
YOL113W	PK
YOL128C	PK
YOR014W	PP
YOR039W	PK
YOR043W	PP
YOR061W	PK
YOR090C	PP
YOR119C	PK
YOR137C	PP
YOR208W	PP
YOR231W	PK
YOR233W	PK
YOR267C	PK
YOR351C	PK
YOR367W	PP
YPL026C	PK
YPL031C	PK
YPL042C	PK
YPL063W	PP
YPL109C	PK
YPL140C	PK
YPL141C	PK
YPL150W	PK
YPL153C	PK
YPL179W	PP
YPL203W	PK
YPL204W	PK
YPL209C	PK
YPL236C	PK
YPL256C	PK
YPR025C	PK
YPR054W	PK
YPR073C	PP
YPR106W	PK
YPR111W	PK
YPR119W	PK
YPR120C	PK
YPR161C	PK
