TF	Target	Sign
MAL63	YBR299W	+
MAL63	YLR134W	+
MAL63	YOR145C	+
MAL63	YPL098C	+
MATA1	YPR111W	-
MATA1	YBL018C	-
MATA1	YBR199W	-
MATA1	YBR281C	-
MATA1	YBR282W	-
MATA1	YCR083W	-
MATA1	YDL227C	-
MATA1	YDR177W	-
MATA1	YDR235W	-
MATA1	YDR363W-A	-
MATA1	YDR372C	-
MATA1	YDR373W	-
MATA1	YDR473C	-
MATA1	YEL018W	-
MATA1	YEL019C	-
MATA1	YEL055C	-
MATA1	YER007W	-
MATA1	YER008C	-
MATA1	YER009W	-
MATA1	YGL170C	-
MATA1	YGR166W	-
MATA1	YLR277C	-
MATA1	YMR066W	-
MATA1	YNL101W	-
MATA1	YNL105W	-
MATA1	YNL187W	-
MATA1	YNL245C	-
MATA1	YNL253W	-
MATA1	YNL254C	-
MATA1	YOL077W-A	-
MATA1	YOL078W	-
MATA1	YOL080C	-
MATA1	YOR035C	-
MATA1	YOR036W	-
MATA1	YOR156C	-
MATA1	YPR110C	-
YAL051W	YDR477W	+
YAL051W	YER134C	+
YAL051W	YGR109C	+
YAL051W	YGR188C	+
YAL051W	YIL113W	+
YAL051W	YJR066W	+
YAL051W	YLR240W	+
YAL051W	YBR150C	+
YAL051W	YDR207C	+
YAL051W	YGL237C	+
YAL051W	YGR067C	+
YAL051W	YLR176C	+
YAL051W	YMR043W	+
YAL051W	YAL016W	+
YAL051W	YAL034W-A	+
YAL051W	YAL035C-A	+
YAL051W	YAL035W	+
YAL051W	YAL036C	+
YAL051W	YBL089W	+
YAL051W	YBR019C	+
YAL051W	YBR020W	+
YAL051W	YBR127C	+
YAL051W	YBR151W	+
YAL051W	YBR187W	+
YAL051W	YBR214W	+
YAL051W	YBR230C	+
YAL051W	YCR020C-A	+
YAL051W	YCR081W	+
YAL051W	YDL058W	+
YAL051W	YDL059C	+
YAL051W	YDR048C	+
YAL051W	YDR208W	+
YAL051W	YDR256C	+
YAL051W	YDR476C	+
YAL051W	YEL011W	-
YAL051W	YER015W	+
YAL051W	YFR015C	+
YAL051W	YFR016C	+
YAL051W	YGL143C	+
YAL051W	YGL201C	+
YAL051W	YGL235W	+
YAL051W	YGR069W	+
YAL051W	YGR109W-A	+
YAL051W	YGR109W-B	+
YAL051W	YHL017W	+
YAL051W	YHR041C	+
YAL051W	YHR042W	+
YAL051W	YHR117W	+
YAL051W	YIL054W	+
YAL051W	YIL055C	+
YAL051W	YIL069C	+
YAL051W	YIL114C	+
YAL051W	YIL120W	+
YAL051W	YIL125W	+
YAL051W	YJL222W	+
YAL051W	YJR045C	+
YAL051W	YJR046W	+
YAL051W	YJR065C	+
YAL051W	YJR069C	+
YAL051W	YJR071W	+
YAL051W	YJR104C	+
YAL051W	YJR105W	+
YAL051W	YKL146W	+
YAL051W	YKL148C	+
YAL051W	YKR096W	+
YAL051W	YLR089C	+
YAL051W	YLR090W	+
YAL051W	YLR174W	+
YAL051W	YLR177W	+
YAL051W	YLR239C	+
YAL051W	YLR373C	+
YAL051W	YLR375W	+
YAL051W	YLR428C	+
YAL051W	YLR430W	+
YAL051W	YML072C	+
YAL051W	YML125C	+
YAL051W	YMR062C	+
YAL051W	YMR063W	+
YAL051W	YMR107W	-
YAL051W	YMR165C	+
YAL051W	YNL113W	+
YAL051W	YNL115C	+
YAL051W	YNL299W	+
YAL051W	YNL321W	+
YAL051W	YNL322C	+
YAL051W	YOL083W	-
YAL051W	YOR042W	+
YAL051W	YOR301W	+
YAL051W	YPL016W	+
YAL051W	YPL017C	+
YAL051W	YPL059W	+
YAL051W	YPL060C-A	+
YAL051W	YPL262W	+
YAL051W	YPL263C	+
YAL051W	YPR098C	+
YAL051W	YPR100W	+
YAL051W	YPR148C	+
YAL051W	YPR149W	+
YBL005W	YLR240W	+
YBL005W	YOR233W	+
YBL005W	YGL209W	+
YBL005W	YAR050W	+
YBL005W	YBL006C	+
YBL005W	YBL007C	+
YBL005W	YBR008C	+
YBL005W	YBR080C	+
YBL005W	YCR032W	+
YBL005W	YDL027C	+
YBL005W	YDR011W	+
YBL005W	YDR048C	-
YBL005W	YDR072C	+
YBL005W	YDR406W	+
YBL005W	YDR415C	+
YBL005W	YDR416W	-
YBL005W	YDR468C	+
YBL005W	YDR469W	+
YBL005W	YGL066W	+
YBL005W	YGR110W	-
YBL005W	YGR218W	+
YBL005W	YGR281W	+
YBL005W	YHR064C	+
YBL005W	YJL082W	+
YBL005W	YJL219W	-
YBL005W	YJR007W	+
YBL005W	YJR132W	+
YBL005W	YKL077W	+
YBL005W	YLR239C	+
YBL005W	YLR343W	+
YBL005W	YML093W	+
YBL005W	YML095C-A	+
YBL005W	YML096W	-
YBL005W	YML097C	+
YBL005W	YML125C	+
YBL005W	YMR193W	+
YBL005W	YMR258C	-
YBL005W	YNL168C	+
YBL005W	YNL258C	-
YBL005W	YNR007C	+
YBL005W	YNR008W	+
YBL005W	YOL083W	+
YBL005W	YOL156W	+
YBL005W	YOR148C	+
YBL005W	YOR153W	+
YBL005W	YOR328W	+
YBL005W	YOR339C	-
YBL005W	YPL066W	+
YBL005W	YPL068C	+
YBL008W	YBR097W	-
YBL008W	YDR523C	-
YBL008W	YKL203C	-
YBL008W	YLR226W	-
YBL008W	YLR361C	-
YBL008W	YLR362W	-
YBL008W	YOR137C	-
YBL008W	YCR040W	-
YBL008W	YAL001C	-
YBL008W	YAR002W	-
YBL008W	YBL002W	-
YBL008W	YBL003C	-
YBL008W	YBR009C	-
YBL008W	YBR010W	-
YBL008W	YBR095C	-
YBL008W	YBR096W	-
YBL008W	YCR039C	-
YBL008W	YCR041W	-
YBL008W	YDR086C	-
YBL008W	YDR098C	-
YBL008W	YDR224C	-
YBL008W	YDR225W	-
YBL008W	YDR386W	-
YBL008W	YDR417C	-
YBL008W	YDR419W	-
YBL008W	YEL001C	-
YBL008W	YEL002C	-
YBL008W	YEL022W	-
YBL008W	YEL023C	-
YBL008W	YFR001W	-
YBL008W	YGL230C	-
YBL008W	YGR004W	-
YBL008W	YHR138C	-
YBL008W	YIL014W	-
YBL008W	YIL070C	-
YBL008W	YJR007W	-
YBL008W	YJR044C	-
YBL008W	YKL202W	-
YBL008W	YLR002C	-
YBL008W	YLR061W	-
YBL008W	YLR166C	-
