P	Target
YBR136W	YBR236C
YBL088C	YBR236C
YBR136W	YKL112W
YBL088C	YKL112W
YIL035C	YKL112W
YOR061W	YKL112W
YGL019W	YKL112W
YOR039W	YKL112W
YJR059W	YCR088W
YBR160W	YCR088W
YPR119W	YCR088W
YBR160W	YLR131C
YNL161W	YLR131C
YPR119W	YLR131C
YBR160W	YJR083C
YPR119W	YJR083C
YBR160W	YPL267W
YFR028C	YPL267W
YBR136W	YLR153C
YBL088C	YLR153C
YDR477W	YDR216W
YBR160W	YDR216W
YJL164C	YDR216W
YOL045W	YIR003W
YBR160W	YBR059C
YPR119W	YBR059C
YBR059C	YBR059C
YKL166C	YDR264C
YBR160W	YJL122W
YPR119W	YJL122W
YPL031C	YOR175C
YBR160W	YOL130W
YPR119W	YOL130W
YBR160W	YKR021W
YBR160W	YJL084C
YPR119W	YJL084C
YDL028C	YBR211C
YLL019C	YCL050C
YBR136W	YPR034W
YBL088C	YPR034W
YBR160W	YOR058C
YPR120C	YOR058C
YFR028C	YOR058C
YPL209C	YOR058C
YBR136W	YIL130W
YBL088C	YIL130W
YBR160W	YKL185W
YKL139W	YKL185W
YPL209C	YKL052C
YBR160W	YKL052C
YPR119W	YKL052C
YPL031C	YKL052C
YDL230W	YKL052C
YBR160W	YGR097W
YBR160W	YDL088C
YJL164C	YGL180W
YJL164C	YPR185W
YJR066W	YPR185W
YKL198C	YOL082W
YBR160W	YMR068W
YPR119W	YMR068W
YBR160W	YBR068C
YBR160W	YJL020C
YOR231W	YJL020C
YBR136W	YHR040W
YBL088C	YHR040W
YBR160W	YJL095W
YPR119W	YJL095W
YBR160W	YER167W
YDL047W	YDR361C
YNL307C	YIL033C
YBR160W	YIL033C
YLL019C	YIL033C
YLR433C	YIL033C
YOR233W	YIL033C
YBR136W	YLR399C
YBL088C	YLR399C
YBR160W	YBR200W
YDL028C	YBR200W
YBR160W	YER155C
YBR160W	YPL115C
YPL256C	YPL115C
YMR001C	YJR053W
YBR160W	YOR198C
YBR136W	YJR089W
YBL088C	YJR089W
YBR160W	YFL007W
YPR119W	YFL007W
YGR262C	YFL007W
YPL204W	YER177W
YIL095W	YNL271C
YBR160W	YNL233W
YPR119W	YNL233W
YPL141C	YNL166C
YBR160W	YBL085W
YKL139W	YBL085W
YBR160W	YER114C
YPR119W	YER114C
YDL134C	YDL074C
YBR160W	YHR036W
YMR001C	YBL097W
YBR160W	YPR171W
YKL198C	YPR171W
