P	Target	Mode
YBR136W	YBR236C	kinase
YBL088C	YBR236C	kinase
YBR136W	YKL112W	kinase
YBL088C	YKL112W	kinase
YIL035C	YKL112W	kinase
YOR061W	YKL112W	kinase
YGL019W	YKL112W	kinase
YOR039W	YKL112W	kinase
YJR059W	YCR088W	kinase
YBR160W	YCR088W	kinase
YPR119W	YCR088W	kinase
YBR160W	YLR131C	kinase
YNL161W	YLR131C	kinase
YPR119W	YLR131C	kinase
YBR160W	YJR083C	kinase
YPR119W	YJR083C	kinase
YBR160W	YPL267W	kinase
YFR028C	YPL267W	phosphatase
YBR136W	YLR153C	kinase
YBL088C	YLR153C	kinase
YDR477W	YDR216W	kinase
YBR160W	YDR216W	kinase
YJL164C	YDR216W	kinase
YOL045W	YIR003W	kinase
YBR160W	YBR059C	kinase
YPR119W	YBR059C	kinase
YBR059C	YBR059C	kinase
YKL166C	YDR264C	kinase
YBR160W	YJL122W	kinase
YPR119W	YJL122W	kinase
YPL031C	YOR175C	kinase
YBR160W	YOL130W	kinase
YPR119W	YOL130W	kinase
YBR160W	YKR021W	kinase
YBR160W	YJL084C	kinase
YPR119W	YJL084C	kinase
YDL028C	YBR211C	kinase
YLL019C	YCL050C	kinase
YBR136W	YPR034W	kinase
YBL088C	YPR034W	kinase
YBR160W	YOR058C	kinase
YPR120C	YOR058C	kinase
YFR028C	YOR058C	phosphatase
YPL209C	YOR058C	kinase
YBR136W	YIL130W	kinase
YBL088C	YIL130W	kinase
YBR160W	YKL185W	kinase
YKL139W	YKL185W	kinase
YPL209C	YKL052C	kinase
YBR160W	YKL052C	kinase
YPR119W	YKL052C	kinase
YPL031C	YKL052C	kinase
YDL230W	YKL052C	phosphatase
YBR160W	YGR097W	kinase
YBR160W	YDL088C	kinase
YJL164C	YGL180W	kinase
YJL164C	YPR185W	kinase
YJR066W	YPR185W	kinase
YKL198C	YOL082W	kinase
YBR160W	YMR068W	kinase
YPR119W	YMR068W	kinase
YBR160W	YBR068C	kinase
YBR160W	YJL020C	kinase
YOR231W	YJL020C	kinase
YBR136W	YHR040W	kinase
YBL088C	YHR040W	kinase
YBR160W	YJL095W	kinase
YPR119W	YJL095W	kinase
YBR160W	YER167W	kinase
YDL047W	YDR361C	phosphatase
YNL307C	YIL033C	kinase
YBR160W	YIL033C	kinase
YLL019C	YIL033C	kinase
YLR433C	YIL033C	phosphatase
YOR233W	YIL033C	kinase
YBR136W	YLR399C	kinase
YBL088C	YLR399C	kinase
YBR160W	YBR200W	kinase
YDL028C	YBR200W	kinase
YBR160W	YER155C	kinase
YBR160W	YPL115C	kinase
YPL256C	YPL115C	kinase
YMR001C	YJR053W	kinase
YBR160W	YOR198C	kinase
YBR136W	YJR089W	kinase
YBL088C	YJR089W	kinase
YBR160W	YFL007W	kinase
YPR119W	YFL007W	kinase
YGR262C	YFL007W	kinase
YPL204W	YER177W	kinase
YIL095W	YNL271C	kinase
YBR160W	YNL233W	kinase
YPR119W	YNL233W	kinase
YPL141C	YNL166C	kinase
YBR160W	YBL085W	kinase
YKL139W	YBL085W	kinase
YBR160W	YER114C	kinase
YPR119W	YER114C	kinase
YDL134C	YDL074C	phosphatase
YBR160W	YHR036W	kinase
YMR001C	YBL097W	kinase
YBR160W	YPR171W	kinase
YKL198C	YPR171W	kinase
YBR160W	YKL092C	kinase
YPR119W	YKL092C	kinase
YDR477W	YMR014W	kinase
YBR160W	YCL014W	kinase
YDR477W	YCL014W	kinase
YPR119W	YCL014W	kinase
YHR205W	YGR262C	kinase
YBR160W	YLR319C	kinase
YBR160W	YLR353W	kinase
YPR119W	YLR353W	kinase
YOR061W	YDL099W	kinase
YBR160W	YDL099W	kinase
YIL035C	YER159C	kinase
YOR061W	YER159C	kinase
YGL019W	YER159C	kinase
YOR039W	YER159C	kinase
YBR160W	YKL005C	kinase
YDR477W	YHR114W	kinase
YBR160W	YNL278W	kinase
YPR119W	YNL278W	kinase
