ORF	Gene	Function	Subgroup
YAL040C	CLN3	kinase regulatory protein	
YBR128C	ATG14	kinase regulatory protein	
YBR135W	CKS1	kinase regulatory protein	
YCL032W	STE50	kinase regulatory protein	
YDL127W	PCL2	kinase regulatory protein	
YDL155W	CLB3	kinase regulatory protein	
YDL179W	PCL9	kinase regulatory protein	
YDR052C	DBF4	kinase regulatory protein	
YDR162C	NBP2	kinase regulatory protein	
YDR373W	FRQ1	kinase regulatory protein	
YDR422C	SIP1	kinase regulatory protein	
YER027C	GAL83	kinase regulatory protein	
YER059W	PCL6	kinase regulatory protein	
YER093C	TSC11	kinase regulatory protein	
YGL019W	CKB1	kinase regulatory protein	
YGL115W	SNF4	kinase regulatory protein	
YGL134W	PCL10	kinase regulatory protein	
YGL208W	SIP2	kinase regulatory protein	
YGL215W	CLG1	kinase regulatory protein	
YGR109C	CLB6	kinase regulatory protein	
YHR071W	PCL5	kinase regulatory protein	
YHR186C	KOG1	kinase regulatory protein	
YIL050W	PCL7	kinase regulatory protein	
YJL006C	CTK2	kinase regulatory protein	
YJL058C	BIT61	kinase regulatory protein	
YJL157C	FAR1	kinase regulatory protein	
YLL021W	SPA2	kinase regulatory protein	
YLR079W	SIC1	kinase regulatory protein	
YLR210W	CLB4	kinase regulatory protein	
YLR253W		kinase regulatory protein	
YLR423C	ATG17	kinase regulatory protein	
YML112W	CTK3	kinase regulatory protein	
YMR068W	AVO2	kinase regulatory protein	
YMR199W	CLN1	kinase regulatory protein	
YNL289W	PCL1	kinase regulatory protein	
YOL001W	PHO80	kinase regulatory protein	
YOL078W	AVO1	kinase regulatory protein	
YOR039W	CKB2	kinase regulatory protein	
YPL120W	VPS30	kinase regulatory protein	
YPL180W	TCO89	kinase regulatory protein	
YPL219W	PCL8	kinase regulatory protein	
YPL256C	CLN2	kinase regulatory protein	
YPR025C	CCL1	kinase regulatory protein	
YPR119W	CLB2	kinase regulatory protein	
YPR120C	CLB5	kinase regulatory protein	
YAL038W	CDC19	non-protein kinase	
YBL068W	PRS4	non-protein kinase	
YBR020W	GAL1	non-protein kinase	
YCL040W	GLK1	non-protein kinase	
YCR012W	PGK1	non-protein kinase	
YDR017C	KCS1	non-protein kinase	
YDR147W	EKI1	non-protein kinase	
YDR208W	MSS4	non-protein kinase	
YDR236C	FMN1	non-protein kinase	
YDR315C	IPK1	non-protein kinase	
YDR454C	GUK1	non-protein kinase	
YER052C	HOM3	non-protein kinase	
YER099C	PRS2	non-protein kinase	
YER170W	ADK2	non-protein kinase	
YFL053W	DAK2	non-protein kinase	
YFR019W	FAB1	non-protein kinase	
YFR053C	HXK1	non-protein kinase	
YGL253W	HXK2	non-protein kinase	
YGR194C	XKS1	non-protein kinase	
YGR240C	PFK1	non-protein kinase	
YHL032C	GUT1	non-protein kinase	
YHR025W	THR1	non-protein kinase	
YIL107C	PFK26	non-protein kinase	
YJL100W	LSB6	non-protein kinase	
YJR057W	CDC8	non-protein kinase	
YJR105W	ADO1	non-protein kinase	
YKL001C	MET14	non-protein kinase	
YKL024C	URA6	non-protein kinase	
YKL067W	YNK1	non-protein kinase	
YKR097W	PCK1	non-protein kinase	
YLR133W	CKI1	non-protein kinase	
YLR240W	VPS34	non-protein kinase	
YLR260W	LCB5	non-protein kinase	
YLR410W	VIP1	non-protein kinase	
YML070W	DAK1	non-protein kinase	
YMR205C	PFK2	non-protein kinase	
YMR208W	ERG12	non-protein kinase	
YMR220W	ERG8	non-protein kinase	
YNL129W	NRK1	non-protein kinase	
YNL267W	PIK1	non-protein kinase	
YNR012W	URK1	non-protein kinase	
YOL061W	PRS5	non-protein kinase	
YOL136C	PFK27	non-protein kinase	
YOR143C	THI80	non-protein kinase	
YOR171C	LCB4	non-protein kinase	
YPL214C	THI6	non-protein kinase	
YDR321W	ASP1	non-protein kinase	
YBR011C	IPP1 (PPA1)	non-protein phosphatase	
YBR022W	POA1	non-protein phosphatase	
YBR092C	PHO3	non-protein phosphatase	
YBR093C	PHO5	non-protein phosphatase	
YBR252W	DUT1	non-protein phosphatase	
YCR026C	NPP1	non-protein phosphatase	
YDL236W	PHO13	non-protein phosphatase	
YDR074W	TPS2	non-protein phosphatase	
YDR284C	DPP1	non-protein phosphatase	
